the current card is a 9, add 0 to score.the current card is a 10, add -1 to score.the current card is a 10, add -1 to score.the current card is a ace, add -1 to score.the current card is a ace, add -1 to score.the current card is a ace, add -1 to score.the current card is a 10, add -1 to score.the current card is a 10, add -1 to score.the current card is a 10, add -1 to score.The current card is a ace, add -1 to score.
The current card is a 8, add 0 to score.
The current card is a 10, add -1 to score.
The current card is a 10, add -1 to score.
The current card is a 10, add -1 to score.
The current card is a 10, add -1 to score.
The current card is a 10, add -1 to score.
The current card is a king, add -1 to score.
The current card is a ace, add -1 to score.
The current card is a ace, add -1 to score.
The current card is a 9, add 0 to score.
The current card is a jack, add -1 to score.
